module	class	vm	rc	state	wall_s	tests	fail	note
common	org.keycloak.common.util.Base64DecodeTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.CollectionUtilTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.CollectionUtilTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.HtmlUtilsTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.HtmlUtilsTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.KeyUtilsTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.KeyUtilsTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.KeycloakUriBuilderTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.KeycloakUriBuilderTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.KeystoreUtilTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.KeystoreUtilTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.MultivaluedHashMapTest	cratonvm	1	FAIL	1.8	0	0	
common	org.keycloak.common.util.MultivaluedHashMapTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.PaddingUtilsTest	cratonvm	1	FAIL	1.8	0	0	
common	org.keycloak.common.util.PaddingUtilsTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.PathMatcherTest	cratonvm	1	FAIL	1.8	0	0	
common	org.keycloak.common.util.PathMatcherTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.StringPropertyReplacerTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.StringPropertyReplacerTest	hotspot	1	FAIL	0.2	0	0	-
common	org.keycloak.common.util.StringSerializationTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.StringSerializationTest	hotspot	1	FAIL	0.3	0	0	-
common	org.keycloak.common.util.URLEncodingTest	cratonvm	1	FAIL	1.7	0	0	
common	org.keycloak.common.util.URLEncodingTest	hotspot	1	FAIL	0.3	0	0	-
