# class	method	descriptor	kind	registered_by	bucket
# GATED, NOT deletion candidates: this VM ALLOCATES the class, so it reaches
# these registrations through its own instances and no census of JDK images can
# adjudicate them. Split out 2026-08-10 by the class-level fifth-image rule.
java/lang/foreign/MemorySegment	set	(Ljava/lang/foreign/ValueLayout;JLjava/lang/Object;)V	bridge	native-builtins/src/panama.rs:753	method-nowhere
java/lang/foreign/MemorySegment	setAtIndex	(Ljava/lang/foreign/ValueLayout;JLjava/lang/Object;)V	bridge	native-builtins/src/panama.rs:798	method-nowhere
java/lang/foreign/ValueLayout	ADDRESS	Ljava/lang/foreign/AddressLayout;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2166	method-nowhere
java/lang/foreign/ValueLayout	JAVA_BOOLEAN	Ljava/lang/foreign/ValueLayout$OfBoolean;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2103	method-nowhere
java/lang/foreign/ValueLayout	JAVA_BYTE	Ljava/lang/foreign/ValueLayout$OfByte;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2094	method-nowhere
java/lang/foreign/ValueLayout	JAVA_CHAR	Ljava/lang/foreign/ValueLayout$OfChar;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2112	method-nowhere
java/lang/foreign/ValueLayout	JAVA_DOUBLE	Ljava/lang/foreign/ValueLayout$OfDouble;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2157	method-nowhere
java/lang/foreign/ValueLayout	JAVA_FLOAT	Ljava/lang/foreign/ValueLayout$OfFloat;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2148	method-nowhere
java/lang/foreign/ValueLayout	JAVA_INT	Ljava/lang/foreign/ValueLayout$OfInt;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2130	method-nowhere
java/lang/foreign/ValueLayout	JAVA_LONG	Ljava/lang/foreign/ValueLayout$OfLong;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2139	method-nowhere
java/lang/foreign/ValueLayout	JAVA_SHORT	Ljava/lang/foreign/ValueLayout$OfShort;	bridge	native-builtins/src/phases_late/foreign_ffm.rs:2121	method-nowhere
java/lang/management/ClassLoadingMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5232	method-nowhere
java/lang/management/CompilationMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5391	method-nowhere
java/lang/management/GarbageCollectorMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5557	method-nowhere
java/lang/management/MemoryMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:4070	method-nowhere
java/lang/management/OperatingSystemMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:5321	method-nowhere
java/lang/management/PlatformLoggingMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:3823	method-nowhere
java/lang/management/RuntimeMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:3607	method-nowhere
java/lang/management/ThreadMXBean	<init>	()V	bridge	native-builtins/src/jmx.rs:4815	method-nowhere
java/lang/module/ResolvedModule	getDescriptor	()Ljava/lang/module/ModuleDescriptor;	bridge	native-builtins/src/jboss_jdkspecific.rs:1070	method-nowhere
java/lang/reflect/TypeVariable	equals	(Ljava/lang/Object;)Z	bridge	native-builtins/src/lang_reflect.rs:2452	method-nowhere
java/lang/reflect/TypeVariable	hashCode	()I	bridge	native-builtins/src/lang_reflect.rs:2510	method-nowhere
java/lang/reflect/TypeVariable	toString	()Ljava/lang/String;	bridge	native-builtins/src/lang_reflect.rs:2417	method-nowhere
java/net/InetAddress	getHostByAddr	([B)Ljava/lang/String;	bridge	native-builtins/src/inet_address.rs:619	method-nowhere
java/net/InetAddress	lookupAllHostAddr	(Ljava/lang/String;)[Ljava/net/InetAddress;	bridge	native-builtins/src/inet_address.rs:613	method-nowhere
java/nio/Buffer$2	acquireSession	(Ljava/nio/Buffer;)Ljava/lang/foreign/MemorySegment$Scope;	bridge	native-builtins/src/shared_secrets_bridge.rs:2070	method-nowhere
java/nio/Buffer$2	getBufferPool	()Ljava/lang/management/BufferPoolMXBean;	bridge	native-builtins/src/shared_secrets_bridge.rs:2049	method-nowhere
java/nio/ByteOrder	BIG_ENDIAN	Ljava/nio/ByteOrder;	bridge	native-builtins/src/servlet.rs:6259	method-nowhere
java/nio/ByteOrder	LITTLE_ENDIAN	Ljava/nio/ByteOrder;	bridge	native-builtins/src/servlet.rs:6262	method-nowhere
java/nio/DirectByteBuffer	allocateDirect0	(I)Ljava/nio/ByteBuffer;	bridge	native-io/src/direct_buffer.rs:1693	method-nowhere
java/nio/DirectByteBuffer	cleanNative0	()V	bridge	native-io/src/direct_buffer.rs:1770	method-nowhere
java/nio/DirectByteBuffer	freeMemoryExplicit	(JJ)V	bridge	native-io/src/direct_buffer.rs:1811	method-nowhere
java/nio/HeapByteBuffer	<init>	([BIILjdk/internal/access/foreign/MemorySegmentProxy;)V	bridge	native-builtins/src/messaging_shims.rs:2044	method-nowhere
java/nio/channels/AsynchronousServerSocketChannel	localAddress	()Ljava/net/SocketAddress;	bridge	native-io/src/async_socket.rs:3249	method-nowhere
java/nio/channels/DatagramChannel	bind	(Ljava/net/SocketAddress;)V	bridge	native-io/src/lib.rs:18822	method-nowhere
java/nio/channels/DatagramChannel	bind	(Ljava/net/SocketAddress;)V	bridge	native-io/src/lib.rs:18822	method-nowhere
java/nio/channels/DatagramChannel	setReceiveBufferSize	(I)V	bridge	native-io/src/lib.rs:18738	method-nowhere
java/nio/channels/DatagramChannel	setReceiveBufferSize	(I)V	bridge	native-io/src/lib.rs:18738	method-nowhere
java/nio/channels/DatagramChannel	setReuseAddress	(Z)V	bridge	native-io/src/lib.rs:18746	method-nowhere
java/nio/channels/DatagramChannel	setReuseAddress	(Z)V	bridge	native-io/src/lib.rs:18746	method-nowhere
java/nio/channels/DatagramChannel	setSendBufferSize	(I)V	bridge	native-io/src/lib.rs:18730	method-nowhere
java/nio/channels/DatagramChannel	setSendBufferSize	(I)V	bridge	native-io/src/lib.rs:18730	method-nowhere
java/nio/channels/DatagramChannel	setSoTimeout	(I)V	bridge	native-io/src/lib.rs:18760	method-nowhere
java/nio/channels/DatagramChannel	setSoTimeout	(I)V	bridge	native-io/src/lib.rs:18760	method-nowhere
java/nio/channels/DatagramChannel	setTrafficClass	(I)V	bridge	native-io/src/lib.rs:18804	method-nowhere
java/nio/channels/DatagramChannel	setTrafficClass	(I)V	bridge	native-io/src/lib.rs:18804	method-nowhere
java/nio/channels/FileChannel	unmap0	(Ljava/nio/MappedByteBuffer;)V	bridge	native-io/src/lib.rs:16235	method-nowhere
java/nio/channels/Selector	lockAndDoSelect	(Ljava/util/function/Consumer;J)I	bridge	native-io/src/nio_selector.rs:3725	method-nowhere
java/nio/channels/ServerSocketChannel	blockingAccept	(J)Ljava/nio/channels/SocketChannel;	bridge	native-io/src/socket_channel.rs:3927	method-nowhere
java/nio/channels/ServerSocketChannel	configureBlocking	(Z)Ljava/nio/channels/spi/AbstractSelectableChannel;	bridge	native-io/src/socket_channel.rs:3876	method-nowhere
