# class	method	descriptor	kind	registered_by	bucket
java/lang/StringBuffer	append	(Ljava/lang/CharSequence;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:462	method-nowhere
java/lang/StringBuffer	append	(Ljava/lang/CharSequence;II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:438	method-nowhere
java/lang/StringBuffer	append	(Ljava/lang/Object;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:416	method-nowhere
java/lang/StringBuffer	append	(Ljava/lang/String;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:173	method-nowhere
java/lang/StringBuffer	append	(Ljava/lang/StringBuffer;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:191	method-nowhere
java/lang/StringBuffer	append	(Z)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:344	method-nowhere
java/lang/StringBuffer	append	([C)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:326	method-nowhere
java/lang/StringBuffer	append	([CII)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:308	method-nowhere
java/lang/StringBuffer	appendCodePoint	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:263	method-nowhere
java/lang/StringBuffer	appendCodePoint	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:508	method-nowhere
java/lang/StringBuffer	delete	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:626	method-nowhere
java/lang/StringBuffer	deleteCharAt	(I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:638	method-nowhere
java/lang/StringBuffer	insert	(IC)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:554	method-nowhere
java/lang/StringBuffer	insert	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:566	method-nowhere
java/lang/StringBuffer	insert	(ILjava/lang/Object;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:578	method-nowhere
java/lang/StringBuffer	insert	(ILjava/lang/String;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:542	method-nowhere
java/lang/StringBuffer	insert	(I[C)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:608	method-nowhere
java/lang/StringBuffer	insert	(I[CII)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:590	method-nowhere
java/lang/StringBuffer	repeat	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:284	method-nowhere
java/lang/StringBuffer	repeat	(II)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:785	method-nowhere
java/lang/StringBuffer	repeat	(Ljava/lang/CharSequence;I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:704	method-nowhere
java/lang/StringBuffer	repeat	(Ljava/lang/String;I)Ljava/lang/AbstractStringBuilder;	bridge	native-builtins/src/lang_string.rs:770	method-nowhere
java/lang/StringBuffer	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:764	method-nowhere
java/lang/StringBuffer	repeat	(Ljava/lang/String;I)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:728	method-nowhere
java/lang/StringBuffer	replace	(IILjava/lang/String;)Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:650	method-nowhere
java/lang/StringBuffer	reverse	()Ljava/lang/StringBuilder;	bridge	native-builtins/src/lang_string.rs:528	method-nowhere
java/lang/StringBuilder	append	(C)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:245	method-nowhere
java/lang/StringBuilder	append	(D)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:386	method-nowhere
java/lang/StringBuilder	append	(F)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:404	method-nowhere
java/lang/StringBuilder	append	(I)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:227	method-nowhere
java/lang/StringBuilder	append	(J)Ljava/lang/StringBuffer;	bridge	native-builtins/src/lang_string.rs:368	method-nowhere
