# class	method	descriptor	kind	registered_by	gated_because
sun/management/Flag	getInternalFlagCount	()I	synthetic-stub	native-builtins/src/jmx.rs:3312	kind=synthetic-stub
sun/management/HotSpotDiagnostic	dumpHeap0	(Ljava/lang/String;Z)V	synthetic-stub	native-builtins/src/jmx.rs:3132	kind=synthetic-stub
sun/management/HotSpotDiagnostic	getDiagnosticOptions	()Ljava/util/List;	synthetic-stub	native-builtins/src/jmx.rs:3141	kind=synthetic-stub
sun/management/OperatingSystemImpl	getCommittedVirtualMemorySize0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getFreePhysicalMemorySize0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getFreeSwapSpaceSize0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getMaxFileDescriptorCount0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getOpenFileDescriptorCount0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getProcessCpuLoad0	()D	synthetic-stub	native-builtins/src/jmx.rs:3027	kind=synthetic-stub
sun/management/OperatingSystemImpl	getProcessCpuTime0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getSystemCpuLoad0	()D	synthetic-stub	native-builtins/src/jmx.rs:3027	kind=synthetic-stub
sun/management/OperatingSystemImpl	getTotalPhysicalMemorySize0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	getTotalSwapSpaceSize0	()J	synthetic-stub	native-builtins/src/jmx.rs:3021	kind=synthetic-stub
sun/management/OperatingSystemImpl	initialize0	()V	synthetic-stub	native-builtins/src/jmx.rs:3035	kind=synthetic-stub
sun/misc/Cleaner	create0	(Ljava/lang/Object;JJ)I	synthetic-stub	native-io/src/direct_buffer.rs:1852	kind=synthetic-stub
sun/misc/URLClassPath	<clinit>	()V	synthetic-stub	native-builtins/src/classloader.rs:5820	kind=synthetic-stub
sun/misc/URLClassPath	addURL	(Ljava/net/URL;)V	synthetic-stub	native-builtins/src/lib.rs:18478	kind=synthetic-stub
sun/misc/URLClassPath	closeLoaders	()Ljava/util/List;	synthetic-stub	native-builtins/src/classloader.rs:5827	kind=synthetic-stub
sun/misc/URLClassPath	closeLoaders	()V	synthetic-stub	native-builtins/src/classloader.rs:5833	kind=synthetic-stub
sun/misc/URLClassPath	findResource	(Ljava/lang/String;)Ljava/net/URL;	synthetic-stub	native-builtins/src/classloader.rs:5837	kind=synthetic-stub
sun/misc/URLClassPath	findResource	(Ljava/lang/String;Z)Ljava/net/URL;	synthetic-stub	native-builtins/src/classloader.rs:5843	kind=synthetic-stub
sun/misc/URLClassPath	getURLs	()[Ljava/net/URL;	synthetic-stub	native-builtins/src/classloader.rs:5824	kind=synthetic-stub
sun/misc/URLClassPath	getURLs	(Z)[Ljava/net/URL;	synthetic-stub	native-builtins/src/classloader.rs:5825	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	allocationGranularity0	()J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	available0	(Ljava/io/FileDescriptor;)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	close0	(Ljava/io/FileDescriptor;)V	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	duplicateHandle	(J)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	force0	(Ljava/io/FileDescriptor;Z)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	init0	()V	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	isOther0	(Ljava/io/FileDescriptor;)Z	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	lock0	(Ljava/io/FileDescriptor;ZJJZ)I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	map0	(Ljava/io/FileDescriptor;IJJ)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	map0	(Ljava/io/FileDescriptor;IJJZ)J	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	maxDirectTransferSize0	()I	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
sun/nio/ch/WindowsFileDispatcherImpl	preClose0	(Ljava/io/FileDescriptor;)V	synthetic-stub	native-io/src/nio_native.rs:1137	kind=synthetic-stub
